Record_ID,Date,City_ID,Trend_ID,Season_ID,Eco_ID,Petrol_Price_INR,Diesel_Price_INR,Tax_Percentage,Dealer_Commission,Transportation_Cost,Population_Millions,Vehicle_Density,Demand_Index,Supply_Index,Price_Change_Percent
1,2023-01-01,1,3,3,1,105.58,92.93,40.74,5.87,0.87,6.66,694.21,115.18,116.59,0.29
2,2023-01-02,2,3,1,2,110.0,100.0,30.09,3.66,1.47,7.64,535.34,119.06,100.83,-0.68
3,2023-01-03,3,2,2,3,92.5,80.24,30.36,5.06,3.03,0.58,642.72,124.78,118.72,2.13
4,2023-01-04,4,3,2,4,103.29,93.23,41.71,3.65,3.31,1.38,220.48,70.99,143.09,0.69
5,2023-01-05,5,3,1,5,102.56,91.63,25.36,3.24,2.14,7.48,319.95,79.63,62.91,1.93
6,2023-01-06,6,1,3,6,96.09,83.48,24.74,4.56,3.26,5.18,576.44,51.26,66.95,-3.06
7,2023-01-07,7,1,2,7,99.58,88.51,44.64,5.23,3.77,14.17,292.44,57.4,108.99,4.91
8,2023-01-08,8,1,4,8,94.41,83.26,33.52,5.93,3.78,13.07,986.85,80.95,120.68,-2.7
9,2023-01-09,9,2,2,9,89.26,76.36,24.76,2.6,1.7,21.43,593.83,68.58,114.36,-1.02
10,2023-01-10,10,1,4,10,91.41,76.92,24.15,5.5,1.59,2.0,228.77,99.25,75.39,2.19
11,2023-01-11,11,3,1,11,88.17,79.4,41.54,4.1,3.04,17.34,930.51,134.87,112.22,-4.75
12,2023-01-12,12,1,1,12,105.49,94.72,35.0,2.43,2.79,22.78,738.52,122.3,106.02,3.27
13,2023-01-13,13,1,4,13,104.82,98.96,22.88,5.18,1.87,15.67,134.99,125.46,52.42,0.79
14,2023-01-14,14,1,3,14,113.52,104.93,42.17,3.33,1.3,21.33,427.06,110.03,112.24,3.81
15,2023-01-15,15,3,3,15,106.89,97.77,31.1,5.47,2.66,14.56,483.26,120.04,95.11,0.42
16,2023-01-16,16,1,1,16,86.56,73.21,44.73,2.63,2.01,19.55,576.44,68.0,135.33,-4.73
17,2023-01-17,17,3,4,17,111.53,101.39,27.04,4.84,0.96,2.14,384.39,105.25,115.53,-0.07
18,2023-01-18,18,2,1,18,110.88,98.57,33.22,3.2,2.74,4.57,749.57,107.06,104.67,3.97
19,2023-01-19,18,3,4,19,98.3,93.11,24.33,3.03,2.94,2.7,591.52,112.87,139.55,-2.41
20,2023-01-20,19,1,2,20,102.58,92.93,30.99,2.2,1.77,22.84,142.37,127.93,116.39,-1.8
21,2023-01-21,20,1,1,21,114.28,100.27,24.41,3.93,3.41,14.44,170.84,144.4,75.06,-4.67
22,2023-01-22,21,1,4,22,100.97,93.73,27.68,3.57,0.76,8.88,396.06,121.17,96.76,3.51
23,2023-01-23,22,1,4,23,112.16,106.84,26.75,2.25,2.24,13.54,686.16,142.26,117.24,3.67
24,2023-01-24,23,1,2,24,87.49,78.16,27.08,2.91,3.85,0.72,683.37,104.99,132.07,-3.38
25,2023-01-25,24,3,2,25,90.73,78.69,44.25,3.95,1.17,17.48,268.06,78.93,78.34,-2.86
26,2023-01-26,25,1,3,26,98.22,88.68,20.96,5.23,1.1,6.94,903.42,115.85,122.65,0.34
27,2023-01-27,26,1,2,27,102.54,92.94,32.42,5.72,1.83,6.54,562.69,148.09,118.28,-2.85
28,2023-01-28,27,2,2,28,109.49,97.79,35.73,4.06,1.44,6.48,622.4,120.97,64.72,-2.88
29,2023-01-29,28,3,1,29,114.65,107.1,36.52,3.61,1.28,8.1,810.42,146.9,65.29,-0.98
30,2023-01-30,29,3,2,30,96.67,84.15,38.86,5.82,3.82,16.77,203.5,52.24,100.17,0.65
31,2023-01-31,30,3,4,31,86.42,79.89,39.02,5.85,1.71,15.75,571.57,75.84,91.11,-4.73
32,2023-02-01,31,2,3,32,109.04,100.08,43.89,2.76,0.71,15.07,725.87,77.36,63.36,3.79
